2023-02-15 09:12:58.3734|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" received HEADERS frame for stream ID 1 with length 458 and flags END_STREAM, END_HEADERS, PRIORITY.
2023-02-15 09:12:58.4024|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2023-02-15 09:12:58.4139|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7122/swagger/index.html - -
2023-02-15 09:12:58.4581|DEBUG|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|Wildcard detected, all requests with hosts will be allowed.
2023-02-15 09:12:58.4581|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed.
2023-02-15 09:12:58.4905|DEBUG|Microsoft.AspNetCore.Routing.Matching.DfaMatcher|No candidates found for the request path '/swagger/index.html'
2023-02-15 09:12:58.4905|DEBUG|Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware|Request did not match any endpoints
2023-02-15 09:12:58.6332|DEBUG|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|Response markup is scheduled to include browser refresh script injection.
2023-02-15 09:12:58.6612|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2023-02-15 09:12:58.7961|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2023-02-15 09:12:58.7961|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2023-02-15 09:12:58.7961|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2023-02-15 09:12:58.7961|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2023-02-15 09:12:58.7961|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 1 with length 998 and flags NONE.
2023-02-15 09:12:58.7961|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2023-02-15 09:12:58.7961|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2023-02-15 09:12:58.7961|DEBUG|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|Response markup was updated to include browser refresh script injection.
2023-02-15 09:12:58.7961|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2023-02-15 09:12:58.8105|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" received HEADERS frame for stream ID 3 with length 108 and flags END_STREAM, END_HEADERS, PRIORITY.
2023-02-15 09:12:58.8105|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2023-02-15 09:12:58.8105|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7122/swagger/index.html - - - 200 - text/html;charset=utf-8 396.3777ms
2023-02-15 09:12:58.8105|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7122/_vs/browserLink - -
